hotel_id,destination_id,name,price_range
1,1,The Plaza Hotel,$$$
2,1,Holiday Inn Express Manhattan Times Square,$$
3,1,Hotel Pennsylvania,$
4,2,The Beverly Hills Hotel,$$$
5,2,Hilton Los Angeles Airport,$$
6,2,Super 8 by Wyndham Los Angeles,$
7,3,The Langham Chicago,$$$
8,3,Hampton Inn Chicago Downtown/N Loop/Michigan Ave,$$
9,3,Travelodge by Wyndham Downtown Chicago,$
10,4,The Post Oak Hotel at Uptown Houston,$$$
11,4,Hilton Houston Plaza/Medical Center,$$
12,4,Motel 6 Houston Medical Center,$
13,5,The Phoenician - a Luxury Collection Resort,$$$
14,5,Hampton Inn Phoenix Airport North,$$
15,5,Red Roof PLUS+ Phoenix West,$
16,6,The Rittenhouse Hotel,$$$
17,6,Hilton Philadelphia at Penn's Landing,$$
18,6,Days Inn by Wyndham Philadelphia Convention Center,$
19,7,Mokara Hotel & Spa,$$$
20,7,Drury Inn & Suites San Antonio Riverwalk,$$
21,7,La Quinta Inn by Wyndham San Antonio Market Square,$
22,8,Hotel del Coronado,$$$
23,8,Hyatt Regency La Jolla,$$
24,8,Motel 6 San Diego Downtown,$
25,9,Four Seasons Hotel Miami,$$$
26,9,Hilton Miami Downtown,$$
27,9,Red Roof PLUS+ Miami Airport,$
28,10,The Fairmont San Jose,$$$
29,10,Hilton San Jose,$$
30,10,Motel 6 San Jose Airport Central,$
31,11,The Driskill,$$$
32,11,Hampton Inn & Suites Austin-Downtown,$$
33,11,Motel 6 Austin Central-North,$
34,12,Four Seasons Resort Orlando at Walt Disney World,$$$
35,12,Hilton Orlando Buena Vista Palace,$$
36,12,Days Inn by Wyndham Orlando Conv. Center/International Dr,$
37,13,The Ritz-Carlton - Dallas,$$$
38,13,Hilton Garden Inn Downtown Dallas,$$
39,13,Motel 6 Dallas Downtown,$
40,14,Hotel LeVeque - Autograph Collection,$$$
41,14,Hyatt Regency Columbus,$$
42,14,Motel 6 Columbus West,$
43,15,The Ballantyne - A Luxury Collection Hotel - Charlotte,$$$
44,15,Embassy Suites by Hilton Charlotte,$$
45,15,Motel 6 Charlotte University,$
46,16,Fairmont San Francisco,$$$
47,16,Hilton San Francisco Union Square,$$
48,16,Travelodge by Wyndham San Francisco Bay,$
49,17,Conrad Indianapolis,$$$
50,17,Hilton Garden Inn Indianapolis Downtown,$$
51,17,Motel 6 Indianapolis Airport,$
52,18,Fairmont Olympic Hotel,$$$
53,18,Hyatt at Olive 8,$$
54,18,Motel 6 Seattle Airport,$
55,19,The Ritz-Carlton - Denver,$$$
56,19,Hilton Denver City Center,$$
57,19,Motel 6 Denver Central - Federal Blvd,$
58,20,The Willard InterContinental Washington D.C.,$$$
59,20,Hilton Washington D.C. Capitol Hill,$$
60,20,Red Roof PLUS+ Washington DC,$
61,21,Four Seasons Hotel Boston,$$$
62,21,Hyatt Regency Boston Harbor,$$
63,21,Motel 6 Boston South - Braintree,$
64,22,Hotel Paso del Norte - Autograph Collection,$$$
65,22,Hilton Garden Inn El Paso,$$
66,22,Red Roof PLUS+ El Paso East,$
67,23,The Hermitage Hotel,$$$
68,23,Hilton Nashville Downtown,$$
69,23,Motel 6 Nashville Airport,$
70,24,The Westin Book Cadillac Detroit,$$$
71,24,Hilton Garden Inn Detroit Downtown,$$
72,24,Motel 6 Detroit Northeast,$
73,25,The Cosmopolitan of Las Vegas,$$$
74,25,Planet Hollywood Resort & Casino,$$
75,25,Motel 6 Las Vegas Tropicana,$
76,26,The Nines - a Luxury Collection Hotel - Portland,$$$
77,26,Embassy Suites by Hilton Portland Downtown,$$
78,26,Motel 6 Portland Downtown,$
79,27,The Peabody Memphis,$$$
80,27,Hilton Memphis,$$
81,27,Motel 6 Memphis Downtown,$
82,28,Skirvin Hilton Hotel,$$$
83,28,Hilton Garden Inn Oklahoma City Downtown,$$
84,28,Motel 6 Oklahoma City North Frontier City,$
85,29,21c Museum Hotel Louisville,$$$
86,29,Hilton Garden Inn Louisville Downtown,$$
87,29,Motel 6 Louisville North,$
88,30,Four Seasons Hotel Baltimore,$$$
89,30,Hilton Baltimore Inner Harbor,$$
90,30,Motel 6 Baltimore Downtown,$
